,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,mood
8091,8091,7nMjgX8uYCl2SDQuArcWv9,Ella Fitzgerald,pov: you have a holly jolly christmas,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues,Sad
8090,8090,07vXvRYejavLger1TGzOju,Ella Fitzgerald,Best Christmas Songs 2022,Hotta Chocolatta,0,187026,False,0.85,0.532,1,-6.854,1,0.0576,0.768,0.0,0.358,0.866,120.905,4,blues,Happy
8089,8089,1VE9nQhNIs8Xzyy10GxWhB,Ella Fitzgerald,Best Christmas Songs 2022,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues,Sad
8088,8088,3AXWBC3J6CiYXohrN2dRiZ,Ella Fitzgerald,Spooky Scary Season,Ding-Dong! The Witch Is Dead,0,197573,False,0.626,0.248,11,-12.898,0,0.061,0.827,0.0,0.0965,0.639,80.542,4,blues,Sad
8087,8087,1rv0r12Wme7GOIZ0hwIO6r,Ella Fitzgerald,christmas but not christmas songs,Hotta Chocolatta,0,187026,False,0.85,0.532,1,-6.854,1,0.0576,0.768,0.0,0.358,0.866,120.905,4,blues,Happy
8086,8086,53rqZwcMhjXuXDy1IxRi22,Ella Fitzgerald,Holidays Are Coming,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues,Sad
8085,8085,5tuDHaJLO812gIgdf0Llp7,Ella Fitzgerald,Jingle Bell Rock 2022,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,4,blues,Sad
8084,8084,7dY9gGn93i4EoH7oUk2uP4,Ella Fitzgerald,Twisted Halloween Hits,"Bewitched, Bothered, And Bewildered - Stereo Version",0,424317,False,0.422,0.108,5,-16.835,1,0.0376,0.971,0.0,0.101,0.263,71.872,4,blues,Sad
8106,8106,5TIUgAE7x3xmJJUMI8SrgM,Ella Fitzgerald,Rock Christmas 2022 - The Very Best Of,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues,Sad
8108,8108,2gaVsa8Ifi2w2csnRqNN2F,Ella Fitzgerald,Slow Christmas Songs 2022,The Secret Of Christmas,0,168146,False,0.258,0.175,0,-11.903,1,0.0323,0.939,0.000156,0.136,0.107,89.072,3,blues,Sad
8082,8082,4aWqVlWZwVfuSTVucZrb65,Ella Fitzgerald;Louis Armstrong,pov: you are an christmas elf,Cheek To Cheek,0,353647,False,0.665,0.443,0,-8.076,1,0.0803,0.582,0.0,0.113,0.662,122.872,4,blues,Sad
8109,8109,5YC6XWGWSlH4rxbmzvmCQj,Ella Fitzgerald,JULMUSIK,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues,Sad
8129,8129,1mM1piMRF5wPx4nLMBvWpt,Ella Fitzgerald;Count Basie,Christmas time but not Christmas songs 2022,Dream A Little Dream Of Me,0,248197,False,0.287,0.131,7,-19.807,1,0.0777,0.896,0.0,0.0988,0.19,72.627,4,blues,Sad
8128,8128,2qGomArw2xs9koA5A4FmDu,Ella Fitzgerald,Weihnachtssongs,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
